Date,No of Trans,Max,Min,Close,Volume
2015-11-04,28.0,639.0,630.0,634.0,7153.0
2015-11-05,32.0,639.0,632.0,635.0,7339.0
2015-11-08,24.0,627.0,621.0,626.0,8079.0
2015-11-09,54.0,655.0,637.0,650.0,12744.0
2015-11-10,22.0,652.0,641.0,645.0,3800.0
2015-11-15,13.0,642.0,638.0,640.0,3020.0
2015-11-16,30.0,642.0,635.0,635.0,4910.0
2015-11-18,22.0,650.0,635.0,650.0,5740.0
2015-11-19,40.0,641.0,635.0,638.0,10185.0
2015-11-22,28.0,630.0,615.0,625.0,7494.0
2015-11-23,54.0,630.0,615.0,630.0,15206.0
2015-11-24,25.0,642.0,630.0,635.0,4997.0
2015-11-25,15.0,640.0,625.0,625.0,4202.0
2015-11-26,54.0,628.0,609.0,616.0,16423.0
2015-11-30,42.0,624.0,602.0,612.0,11114.0
2015-12-01,35.0,637.0,610.0,636.0,5741.0
2015-12-02,33.0,639.0,611.0,631.0,8214.0
2015-12-03,42.0,652.0,625.0,643.0,8315.0
2015-12-06,54.0,664.0,631.0,664.0,15609.0
2015-12-07,52.0,680.0,660.0,673.0,18423.0
2015-12-08,51.0,675.0,660.0,671.0,16991.0
2015-12-09,36.0,686.0,660.0,680.0,14224.0
2015-12-10,33.0,680.0,667.0,670.0,5775.0
2015-12-13,51.0,680.0,665.0,665.0,14182.0
2015-12-14,29.0,670.0,660.0,660.0,3738.0
2015-12-15,13.0,665.0,653.0,657.0,2854.0
2015-12-16,15.0,658.0,640.0,641.0,2696.0
2015-12-17,19.0,650.0,628.0,650.0,6579.0
2015-12-20,26.0,663.0,637.0,663.0,8452.0
2015-12-21,16.0,671.0,651.0,670.0,3568.0
2015-12-22,35.0,673.0,665.0,667.0,9798.0
2015-12-23,27.0,670.0,658.0,664.0,6855.0
2015-12-24,9.0,664.0,656.0,662.0,936.0
2015-12-27,11.0,661.0,656.0,660.0,1432.0
2015-12-28,20.0,661.0,650.0,655.0,3639.0
2015-12-29,20.0,651.0,645.0,650.0,6715.0
2015-12-31,43.0,678.0,650.0,659.0,14249.0
2016-01-03,33.0,662.0,655.0,661.0,6519.0
2016-01-04,33.0,660.0,653.0,653.0,11727.0
2016-01-05,40.0,664.0,650.0,650.0,12308.0
2016-01-06,52.0,664.0,650.0,662.0,11907.0
2016-01-07,65.0,670.0,664.0,665.0,19154.0
2016-01-10,51.0,668.0,654.0,665.0,17500.0
2016-01-11,36.0,670.0,663.0,665.0,12945.0
2016-01-12,211.0,680.0,668.0,670.0,57948.0
2016-01-13,118.0,675.0,670.0,673.0,35771.0
2016-01-14,126.0,679.0,670.0,670.0,50464.0
2016-01-17,91.0,700.0,683.0,690.0,37272.0
2016-01-18,166.0,704.0,691.0,699.0,79927.0
2016-01-19,82.0,700.0,680.0,699.0,36058.0
2016-01-20,121.0,702.0,695.0,699.0,60328.0
2016-01-21,178.0,705.0,696.0,700.0,77547.0
2016-01-24,105.0,714.0,701.0,714.0,43866.0
2016-01-25,119.0,739.0,718.0,725.0,37112.0
2016-01-26,131.0,738.0,723.0,725.0,39454.0
2016-01-27,133.0,727.0,722.0,724.0,37093.0
2016-01-28,99.0,730.0,720.0,720.0,32311.0
2016-01-31,82.0,728.0,715.0,720.0,20809.0
2016-02-01,126.0,735.0,720.0,732.0,56014.0
2016-02-02,100.0,746.0,738.0,739.0,27887.0
2016-02-03,66.0,740.0,735.0,735.0,20176.0
2016-02-04,80.0,741.0,735.0,740.0,20943.0
2016-02-07,96.0,769.0,736.0,738.0,27076.0
2016-02-08,121.0,745.0,729.0,735.0,35118.0
2016-02-11,52.0,740.0,728.0,728.0,11090.0
2016-02-14,56.0,735.0,728.0,728.0,23504.0
2016-02-15,53.0,734.0,718.0,725.0,11582.0
2016-02-16,35.0,726.0,720.0,724.0,7227.0
2016-02-17,36.0,732.0,725.0,732.0,10878.0
2016-02-18,57.0,735.0,724.0,729.0,14359.0
2016-02-21,109.0,742.0,730.0,730.0,79272.0
2016-02-22,101.0,745.0,730.0,735.0,58413.0
2016-02-23,65.0,746.0,734.0,737.0,20032.0
2016-02-24,42.0,745.0,735.0,738.0,17060.0
2016-02-25,60.0,745.0,730.0,740.0,18031.0
2016-02-28,69.0,742.0,738.0,740.0,22032.0
2016-02-29,48.0,741.0,730.0,741.0,12198.0
2016-03-01,52.0,745.0,740.0,744.0,12183.0
2016-03-02,60.0,750.0,740.0,748.0,23350.0
2016-03-03,69.0,760.0,750.0,760.0,29747.0
2016-03-06,86.0,785.0,750.0,774.0,22775.0
2016-03-10,74.0,785.0,760.0,771.0,24233.0
2016-03-13,42.0,779.0,765.0,766.0,12266.0
2016-03-14,38.0,780.0,760.0,769.0,9015.0
2016-03-15,28.0,769.0,764.0,768.0,8150.0
2016-03-16,28.0,770.0,765.0,768.0,5611.0
2016-03-17,43.0,772.0,761.0,768.0,10918.0
2016-03-20,100.0,783.0,765.0,776.0,31821.0
2016-03-21,94.0,788.0,770.0,780.0,65417.0
2016-03-23,128.0,785.0,771.0,780.0,38784.0
2016-03-24,99.0,796.0,766.0,788.0,32700.0
2016-03-27,202.0,820.0,797.0,818.0,60290.0
2016-03-28,163.0,825.0,800.0,811.0,48482.0
2016-03-29,141.0,811.0,800.0,804.0,39031.0
2016-03-30,89.0,810.0,799.0,806.0,19383.0
2016-03-31,113.0,808.0,790.0,795.0,39992.0
2016-04-03,86.0,800.0,780.0,795.0,18626.0
2016-04-04,64.0,800.0,786.0,797.0,14476.0
2016-04-05,113.0,812.0,796.0,803.0,25912.0
2016-04-06,59.0,806.0,796.0,801.0,15728.0
2016-04-10,88.0,804.0,800.0,802.0,19721.0
2016-04-11,61.0,805.0,800.0,800.0,13121.0
2016-04-12,71.0,810.0,800.0,806.0,14811.0
2016-04-14,72.0,815.0,809.0,813.0,24823.0
2016-04-17,96.0,825.0,818.0,824.0,34030.0
2016-04-18,136.0,850.0,825.0,848.0,56424.0
2016-04-19,156.0,860.0,842.0,852.0,41723.0
2016-04-20,165.0,884.0,865.0,880.0,42727.0
2016-04-21,105.0,888.0,860.0,872.0,22220.0
2016-04-24,201.0,899.0,885.0,890.0,42086.0
2016-04-25,120.0,894.0,886.0,890.0,35200.0
2016-04-26,114.0,890.0,880.0,880.0,37901.0
2016-04-27,82.0,880.0,867.0,871.0,18193.0
2016-04-28,110.0,886.0,870.0,870.0,22919.0
2016-05-02,77.0,883.0,866.0,872.0,15941.0
2016-05-03,87.0,877.0,860.0,871.0,20967.0
2016-05-04,125.0,875.0,860.0,873.0,26948.0
